scaling_factor,TiN_Energy (eV),TiN_LatticeConstant (Å),ZrN_Energy (eV),ZrN_LatticeConstant (Å),NbN_Energy (eV),NbN_LatticeConstant (Å),ScN_Energy (eV),ScN_LatticeConstant (Å),VN_Energy (eV),VN_LatticeConstant (Å)
0.960,-7601.5453,4.0716,-6507.9105,4.4149,-19297.1096,4.2572,-6112.6753,4.3305,-9001.1368,3.9599
0.973,-7602.1807,4.1267,-6508.5790,4.4747,-19297.8187,4.3148,-6113.2118,4.3891,-9001.7236,4.0136
0.987,-7602.5712,4.1861,-6508.9697,4.5391,-19298.2198,4.3769,-6113.5417,4.4523,-9002.0578,4.0713
1.000,-7602.6933,4.2412,-6509.0638,4.5988,-19298.2981,4.4346,-6113.6440,4.5109,-9002.1253,4.1249
1.013,-7602.6117,4.2964,-6508.9310,4.6586,-19298.1295,4.4922,-6113.5724,4.5696,-9001.9881,4.1786
1.027,-7602.3243,4.3558,-6508.5662,4.7230,-19297.7076,4.5543,-6113.3236,4.6327,-9001.6403,4.2363
1.040,-7601.8954,4.4109,-6508.0481,4.7828,-19297.1226,4.6119,-6112.9523,4.6914,-9001.1557,4.2899
