Lattice Constant (Å),TiN_Energy (eV),ZrN_Energy (eV),NbN_Energy (eV),ScN_Energy (eV),VN_Energy (eV)
4.0716,-7605.2946,-6511.3535,-19301.0992,-6115.6816,-9004.7897
4.1267,-7605.7941,-6511.8942,-19301.6626,-6116.1059,-9005.2447
4.1861,-7606.0449,-6512.1535,-19301.9143,-6116.3210,-9005.4434
4.2412,-7606.0434,-6512.1316,-19301.8602,-6116.3221,-9005.3909
4.2964,-7605.8439,-6511.8882,-19301.5659,-6116.1540,-9005.1388
4.3558,-7605.4352,-6511.4099,-19301.0146,-6115.8064,-9004.6731
4.4109,-7604.8990,-6510.7916,-19300.3153,-6115.3478,-9004.0841
